,s_id,semester,average,class_pr,dept_pr,學院,科系,參加社團,系學會社團,學術型社團,康樂性社團,聯誼性社團,服務性社團,club_id,assistant_manager_flag,manager_flag
29,00bbd02f97c3033acf6490355d514e0b,1042,86.0,74.0,74.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
30,00bbd02f97c3033acf6490355d514e0b,1051,89.6,78.0,86.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
31,00bbd02f97c3033acf6490355d514e0b,1052,74.0,33.0,30.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
32,00ceea1d31020a8e5c163cbb19769a49,1021,82.75,71.0,72.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
33,00ceea1d31020a8e5c163cbb19769a49,1022,81.48,70.0,74.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
34,00ceea1d31020a8e5c163cbb19769a49,1031,81.76,71.0,73.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
35,00ceea1d31020a8e5c163cbb19769a49,1032,80.11,57.0,56.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
36,00ceea1d31020a8e5c163cbb19769a49,1041,79.39,57.0,49.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
37,00ceea1d31020a8e5c163cbb19769a49,1042,86.69,79.0,74.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
38,00ceea1d31020a8e5c163cbb19769a49,1051,85.0,72.0,74.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
39,00ceea1d31020a8e5c163cbb19769a49,1052,82.14,54.0,58.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
40,00e1e0184b849147e93deffcb1982c70,1021,70.0,14.0,14.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
41,00e1e0184b849147e93deffcb1982c70,1022,70.57,10.0,10.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
42,00e1e0184b849147e93deffcb1982c70,1031,56.39,4.0,4.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
43,00e1e0184b849147e93deffcb1982c70,1032,65.91,27.0,27.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
44,00e1e0184b849147e93deffcb1982c70,1041,61.78,8.0,8.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
45,00e1e0184b849147e93deffcb1982c70,1042,63.71,12.0,12.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
46,00e1e0184b849147e93deffcb1982c70,1051,74.15,18.0,18.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
47,00e1e0184b849147e93deffcb1982c70,1052,79.9,38.0,38.0,工學院,化學工程與材料工程學系,Y,Y,N,N,N,N,A006,N,N
48,0115316c930c47554031ab317d85175f,1021,56.86,14.0,7.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
49,0115316c930c47554031ab317d85175f,1022,54.28,8.0,10.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
50,0115316c930c47554031ab317d85175f,1031,1.41,0.0,0.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
51,0115316c930c47554031ab317d85175f,1032,70.59,37.0,32.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
52,0115316c930c47554031ab317d85175f,1041,52.41,16.0,13.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
53,0115316c930c47554031ab317d85175f,1042,77.94,70.0,64.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
54,0115316c930c47554031ab317d85175f,1051,62.95,15.0,17.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
55,0115316c930c47554031ab317d85175f,1052,65.53,24.0,22.0,理學院,數學系,Y,N,N,N,N,Y,B002,N,N
56,019a924b2d968386423d0cc82630ceee,1021,69.96,7.0,8.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
57,019a924b2d968386423d0cc82630ceee,1022,63.65,4.0,4.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
58,019a924b2d968386423d0cc82630ceee,1031,66.84,9.0,9.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
59,019a924b2d968386423d0cc82630ceee,1032,69.45,19.0,14.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
60,019a924b2d968386423d0cc82630ceee,1041,75.71,10.0,8.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
61,019a924b2d968386423d0cc82630ceee,1042,73.76,8.0,9.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
62,019a924b2d968386423d0cc82630ceee,1051,87.0,63.0,64.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
63,019a924b2d968386423d0cc82630ceee,1052,89.67,68.0,75.0,管理學院,企業管理學系,Y,N,N,N,N,Y,B012,N,N
64,019f9d72fb7ea121a596574d9d6d3e7f,1021,68.7,30.0,30.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
65,019f9d72fb7ea121a596574d9d6d3e7f,1022,71.13,28.0,28.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
66,019f9d72fb7ea121a596574d9d6d3e7f,1031,67.5,33.0,33.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
67,019f9d72fb7ea121a596574d9d6d3e7f,1032,67.67,37.0,37.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
68,019f9d72fb7ea121a596574d9d6d3e7f,1041,73.46,36.0,36.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
69,019f9d72fb7ea121a596574d9d6d3e7f,1042,77.71,43.0,43.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
70,019f9d72fb7ea121a596574d9d6d3e7f,1051,82.87,50.0,50.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
71,019f9d72fb7ea121a596574d9d6d3e7f,1052,70.73,26.0,26.0,生醫理工學院,生命科學系,Y,Y,Y,N,Y,N,C016,N,N
72,01b44b28ee5292cb0878d1d69414550c,1021,77.46,67.0,68.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
73,01b44b28ee5292cb0878d1d69414550c,1022,82.36,89.0,89.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
74,01b44b28ee5292cb0878d1d69414550c,1031,84.82,83.0,82.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
75,01b44b28ee5292cb0878d1d69414550c,1032,86.89,91.0,85.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
76,01b44b28ee5292cb0878d1d69414550c,1041,87.75,77.0,66.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
77,01b44b28ee5292cb0878d1d69414550c,1042,92.18,96.0,91.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
78,01b44b28ee5292cb0878d1d69414550c,1051,96.0,96.0,98.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
79,01b44b28ee5292cb0878d1d69414550c,1052,85.33,82.0,81.0,資訊電機學院,電機工程學系,N,N,N,N,N,N,,,
80,01c0395392397f6a0bcde746acc013a2,1021,72.86,25.0,28.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
81,01c0395392397f6a0bcde746acc013a2,1022,80.05,66.0,69.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
82,01c0395392397f6a0bcde746acc013a2,1031,76.68,45.0,53.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
83,01c0395392397f6a0bcde746acc013a2,1032,77.63,39.0,40.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
84,01c0395392397f6a0bcde746acc013a2,1041,76.13,45.0,37.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
85,01c0395392397f6a0bcde746acc013a2,1042,85.81,74.0,71.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
86,01c0395392397f6a0bcde746acc013a2,1051,74.55,30.0,31.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
87,01c0395392397f6a0bcde746acc013a2,1052,84.45,66.0,70.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
88,01d1d1adb769af2339ff7042ff3ca257,1021,77.56,57.0,56.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
89,01d1d1adb769af2339ff7042ff3ca257,1022,64.48,18.0,18.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
90,01d1d1adb769af2339ff7042ff3ca257,1031,73.0,60.0,53.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
91,01d1d1adb769af2339ff7042ff3ca257,1032,75.77,50.0,49.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
92,01d1d1adb769af2339ff7042ff3ca257,1041,80.15,58.0,66.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
93,01d1d1adb769af2339ff7042ff3ca257,1042,87.57,76.0,82.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
94,01d1d1adb769af2339ff7042ff3ca257,1051,93.43,98.0,99.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
95,01d1d1adb769af2339ff7042ff3ca257,1052,85.44,63.0,68.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
96,01d2e84e0523f36ca3931177213244ce,1021,65.04,6.0,6.0,理學院,理學院學士班,N,N,N,N,N,N,,,
97,01d2e84e0523f36ca3931177213244ce,1022,70.79,17.0,17.0,理學院,理學院學士班,N,N,N,N,N,N,,,
98,01d2e84e0523f36ca3931177213244ce,1031,60.89,24.0,24.0,理學院,理學院學士班,N,N,N,N,N,N,,,
99,01d2e84e0523f36ca3931177213244ce,1032,63.06,18.0,18.0,理學院,理學院學士班,N,N,N,N,N,N,,,
100,01d2e84e0523f36ca3931177213244ce,1041,71.53,19.0,19.0,理學院,理學院學士班,N,N,N,N,N,N,,,
101,01d2e84e0523f36ca3931177213244ce,1042,81.05,56.0,56.0,理學院,理學院學士班,N,N,N,N,N,N,,,
102,01d2e84e0523f36ca3931177213244ce,1051,82.1,45.0,45.0,理學院,理學院學士班,N,N,N,N,N,N,,,
103,01d2e84e0523f36ca3931177213244ce,1052,77.0,26.0,26.0,理學院,理學院學士班,N,N,N,N,N,N,,,
104,01f990ae2c772dc00fb1eddd00343492,1021,71.09,36.0,36.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
105,01f990ae2c772dc00fb1eddd00343492,1022,68.79,29.0,29.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
106,01f990ae2c772dc00fb1eddd00343492,1031,64.89,40.0,40.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
107,01f990ae2c772dc00fb1eddd00343492,1032,72.16,32.0,32.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
108,01f990ae2c772dc00fb1eddd00343492,1041,72.77,31.0,31.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
109,01f990ae2c772dc00fb1eddd00343492,1042,75.77,56.0,56.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
110,01f990ae2c772dc00fb1eddd00343492,1051,76.09,40.0,40.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
111,01f990ae2c772dc00fb1eddd00343492,1052,81.0,76.0,76.0,理學院,光電科學與工程學系,Y,Y,N,N,N,N,A020,N,N
112,02242ca3e6f527ddcfdb9438a766a553,1021,85.23,96.0,94.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
113,02242ca3e6f527ddcfdb9438a766a553,1022,91.12,98.0,99.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
114,02242ca3e6f527ddcfdb9438a766a553,1031,82.1,85.0,86.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
115,02242ca3e6f527ddcfdb9438a766a553,1032,84.18,84.0,89.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
116,02242ca3e6f527ddcfdb9438a766a553,1041,89.29,98.0,97.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
117,02242ca3e6f527ddcfdb9438a766a553,1042,86.5,88.0,92.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
118,02242ca3e6f527ddcfdb9438a766a553,1051,90.5,98.0,98.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
119,02242ca3e6f527ddcfdb9438a766a553,1052,87.8,89.0,91.0,工學院,機械工程學系,Y,N,N,Y,N,N,D004,N,N
120,026b30e4f730584b1d2b9240c8b1f0e5,1021,69.88,7.0,7.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
121,026b30e4f730584b1d2b9240c8b1f0e5,1022,70.5,23.0,21.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
122,026b30e4f730584b1d2b9240c8b1f0e5,1031,72.15,32.0,26.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
123,026b30e4f730584b1d2b9240c8b1f0e5,1032,75.36,31.0,32.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
124,026b30e4f730584b1d2b9240c8b1f0e5,1041,75.96,6.0,9.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
125,026b30e4f730584b1d2b9240c8b1f0e5,1042,68.15,4.0,5.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
126,026b30e4f730584b1d2b9240c8b1f0e5,1051,77.43,16.0,14.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
127,026b30e4f730584b1d2b9240c8b1f0e5,1052,71.64,11.0,10.0,管理學院,企業管理學系,Y,N,N,Y,N,N,D005,N,N
128,027d2ece8c0f3a1de41d094c963d0144,1021,77.64,70.0,69.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
129,027d2ece8c0f3a1de41d094c963d0144,1022,74.64,64.0,64.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
130,027d2ece8c0f3a1de41d094c963d0144,1031,62.95,17.0,19.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
131,027d2ece8c0f3a1de41d094c963d0144,1032,61.75,9.0,10.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
132,027d2ece8c0f3a1de41d094c963d0144,1041,66.48,2.0,4.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
133,027d2ece8c0f3a1de41d094c963d0144,1042,76.25,26.0,22.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
134,027d2ece8c0f3a1de41d094c963d0144,1051,67.2,9.0,11.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
135,027d2ece8c0f3a1de41d094c963d0144,1052,82.14,63.0,63.0,資訊電機學院,電機工程學系,Y,Y,N,N,N,N,A004,N,N
136,02b711213968be8234137ffb53159a06,1021,75.72,39.0,44.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
137,02b711213968be8234137ffb53159a06,1022,71.86,30.0,27.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
138,02b711213968be8234137ffb53159a06,1031,63.45,18.0,15.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
139,02b711213968be8234137ffb53159a06,1032,79.32,49.0,51.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
140,02b711213968be8234137ffb53159a06,1041,85.83,66.0,73.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
141,02b711213968be8234137ffb53159a06,1042,81.56,51.0,50.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
142,02b711213968be8234137ffb53159a06,1051,80.73,59.0,56.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
143,02b711213968be8234137ffb53159a06,1052,77.86,43.0,40.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
144,02e843cc19c37e3110f864183fd78c94,1021,67.12,10.0,7.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
145,02e843cc19c37e3110f864183fd78c94,1022,74.52,57.0,53.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
146,02e843cc19c37e3110f864183fd78c94,1031,70.91,31.0,40.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
147,02e843cc19c37e3110f864183fd78c94,1032,71.21,25.0,28.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
148,02e843cc19c37e3110f864183fd78c94,1041,72.12,23.0,28.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
149,02e843cc19c37e3110f864183fd78c94,1042,67.78,0.0,5.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
150,02e843cc19c37e3110f864183fd78c94,1051,79.0,29.0,25.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
151,02e843cc19c37e3110f864183fd78c94,1052,65.67,13.0,18.0,管理學院,資訊管理學系,Y,N,N,N,Y,N,C007,N,N
152,02ed896d252653d8e628ecb1af06160c,1021,88.09,98.0,99.0,工學院,機械工程學系,N,N,N,N,N,N,,,
153,02ed896d252653d8e628ecb1af06160c,1022,83.71,90.0,91.0,工學院,機械工程學系,N,N,N,N,N,N,,,
154,02ed896d252653d8e628ecb1af06160c,1031,89.68,96.0,97.0,工學院,機械工程學系,N,N,N,N,N,N,,,
155,02ed896d252653d8e628ecb1af06160c,1032,85.56,89.0,91.0,工學院,機械工程學系,N,N,N,N,N,N,,,
156,02ed896d252653d8e628ecb1af06160c,1041,81.61,84.0,86.0,工學院,機械工程學系,N,N,N,N,N,N,,,
157,02ed896d252653d8e628ecb1af06160c,1042,83.1,77.0,84.0,工學院,機械工程學系,N,N,N,N,N,N,,,
158,02ed896d252653d8e628ecb1af06160c,1051,84.0,80.0,80.0,工學院,機械工程學系,N,N,N,N,N,N,,,
159,02ed896d252653d8e628ecb1af06160c,1052,79.21,60.0,60.0,工學院,機械工程學系,N,N,N,N,N,N,,,
160,02eee58202c531752b2060375c69acc7,1021,75.96,29.0,35.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
161,02eee58202c531752b2060375c69acc7,1022,72.67,45.0,45.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
162,02eee58202c531752b2060375c69acc7,1031,73.23,46.0,54.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
163,02eee58202c531752b2060375c69acc7,1032,80.87,77.0,73.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
164,02eee58202c531752b2060375c69acc7,1041,75.88,48.0,46.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
165,02eee58202c531752b2060375c69acc7,1042,82.13,52.0,54.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
166,02eee58202c531752b2060375c69acc7,1051,89.85,98.0,90.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
167,02eee58202c531752b2060375c69acc7,1052,86.78,80.0,76.0,管理學院,資訊管理學系,Y,N,N,N,N,Y,B018,N,N
168,0341dfbe9c0614380f8661dced07ef1f,1021,78.68,52.0,52.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
169,0341dfbe9c0614380f8661dced07ef1f,1022,73.79,45.0,45.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
170,0341dfbe9c0614380f8661dced07ef1f,1031,75.74,54.0,54.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
171,0341dfbe9c0614380f8661dced07ef1f,1032,81.58,61.0,61.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
172,0341dfbe9c0614380f8661dced07ef1f,1041,84.26,73.0,73.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
173,0341dfbe9c0614380f8661dced07ef1f,1042,89.09,92.0,92.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
174,0341dfbe9c0614380f8661dced07ef1f,1051,91.15,89.0,89.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
175,0341dfbe9c0614380f8661dced07ef1f,1052,86.6,79.0,79.0,地球科學學院,地球科學學系,Y,Y,N,Y,N,N,D014,N,N
176,035fd12be6499a2a74e0b558fd9e7ffc,1021,70.35,17.0,17.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
177,035fd12be6499a2a74e0b558fd9e7ffc,1022,74.3,43.0,43.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
178,035fd12be6499a2a74e0b558fd9e7ffc,1031,63.71,16.0,16.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
179,035fd12be6499a2a74e0b558fd9e7ffc,1032,70.82,29.0,29.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
180,035fd12be6499a2a74e0b558fd9e7ffc,1041,70.22,22.0,22.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
181,035fd12be6499a2a74e0b558fd9e7ffc,1042,68.6,16.0,16.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
182,035fd12be6499a2a74e0b558fd9e7ffc,1051,75.76,35.0,35.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
183,035fd12be6499a2a74e0b558fd9e7ffc,1052,77.33,45.0,45.0,資訊電機學院,通訊工程學系,Y,Y,N,N,N,N,A019,N,N
184,036fe7827274b7120066375793ad7b81,1021,89.22,95.0,96.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
185,036fe7827274b7120066375793ad7b81,1022,91.52,95.0,95.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
186,036fe7827274b7120066375793ad7b81,1031,93.6,98.0,98.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
187,036fe7827274b7120066375793ad7b81,1032,92.65,98.0,96.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
188,036fe7827274b7120066375793ad7b81,1041,92.68,98.0,95.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
189,036fe7827274b7120066375793ad7b81,1042,95.69,96.0,96.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
190,036fe7827274b7120066375793ad7b81,1051,87.5,85.0,85.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
191,036fe7827274b7120066375793ad7b81,1052,86.91,81.0,80.0,資訊電機學院,資訊工程學系,N,N,N,N,N,N,,,
192,039de4fea6362994c93cbd221d9de02c,1021,82.13,75.0,75.0,理學院,物理學系,Y,Y,N,Y,N,Y,A009,N,N
193,039de4fea6362994c93cbd221d9de02c,1022,80.7,71.0,71.0,理學院,物理學系,Y,Y,N,Y,N,Y,A009,N,N
194,039de4fea6362994c93cbd221d9de02c,1031,71.17,35.0,35.0,理學院,物理學系,Y,Y,N,Y,N,Y,A009,N,N
195,039de4fea6362994c93cbd221d9de02c,1032,77.62,63.0,63.0,理學院,物理學系,Y,Y,N,Y,N,Y,A009,N,N
