艦娘,艦種,數量,S勝,A勝,B勝,提督等級,掉落率
扶桑,戰艦,523,354,169,0,"78 ~ 120",1.792%
卷雲,驅逐艦,526,369,157,0,"79 ~ 120",1.802%
那智,重巡洋艦,532,363,169,0,"83 ~ 120",1.823%
睦月,驅逐艦,543,379,164,0,"71 ~ 120",1.86%
摩耶,重巡洋艦,543,391,152,0,"82 ~ 120",1.86%
鳥海,重巡洋艦,554,402,152,0,"81 ~ 120",1.898%
熊野,重巡洋艦,560,364,196,0,"76 ~ 120",1.919%
山城,戰艦,565,389,176,0,"63 ~ 120",1.936%
利根,重巡洋艦,578,401,177,0,"76 ~ 120",1.98%
羽黑,重巡洋艦,579,419,160,0,"76 ~ 120",1.984%
吹雪,驅逐艦,579,393,186,0,"77 ~ 120",1.984%
朝霜,驅逐艦,579,387,192,0,"80 ~ 120",1.984%
筑摩,重巡洋艦,580,403,177,0,"71 ~ 120",1.987%
加古,重巡洋艦,583,382,201,0,"73 ~ 120",1.997%
夕雲,驅逐艦,586,392,194,0,"64 ~ 120",2.008%
長波,驅逐艦,588,435,153,0,"76 ~ 120",2.015%
曉,驅逐艦,590,401,189,0,"83 ~ 120",2.021%
衣笠,重巡洋艦,593,398,195,0,"71 ~ 120",2.032%
鈴谷,重巡洋艦,597,418,179,0,"71 ~ 120",2.045%
妙高,重巡洋艦,598,408,190,0,"74 ~ 120",2.049%
最上,重巡洋艦,601,409,192,0,"84 ~ 120",2.059%
綾波,驅逐艦,605,421,184,0,"76 ~ 120",2.073%
古鷹,重巡洋艦,609,413,196,0,"71 ~ 120",2.086%
沖波,驅逐艦,618,428,190,0,"80 ~ 120",2.117%
愛宕,重巡洋艦,618,430,188,0,"64 ~ 120",2.117%
足柄,重巡洋艦,632,435,197,0,"71 ~ 120",2.165%
Johnston,驅逐艦,643,564,79,0,"61 ~ 120",2.203%
青葉,重巡洋艦,659,462,197,0,"83 ~ 120",2.258%
照月,驅逐艦,676,676,0,0,"74 ~ 120",2.316%
大東,海防艦,1094,933,161,0,"77 ~ 120",3.748%
